title,seen,own,wishlist_see,wishlist_own,user_rating
Good Will Hunting,1,1,0,0,92
A Good Year,1,0,0,0,28
Erin Brockovich,1,0,0,1,85
Up,1,0,0,1,95
Magic Mike,1,0,0,1,75
The Notebook,1,0,0,1,57
The Holiday,1,0,0,1,50
Blood Diamond,1,1,0,0,75
Once,1,0,0,1,60
P.S. I Love You,1,1,0,0,25
American Hustle,1,0,0,1,85
The Social Network,1,1,0,0,90
When Harry Met Sally,1,0,0,1,85
Jaws,1,0,0,0,87
The Matrix,1,1,0,0,89
Dirty Dancing,1,0,0,1,100
Harry Potter and the Deathly Hallows: Part 2,1,0,0,0,100
Slumdog Millionaire,1,1,0,0,83
Bladerunner,1,0,0,0,87
Gran Torino,1,0,0,0,85
The Sixth Sense,1,1,0,0,93
The Hunger Games: Catching Fire,1,0,0,1,85
August: Osage County,1,0,0,0,88
The Words,1,0,0,0,15
John Carter,1,0,0,57
Lincoln,1,0,0,0,90
The Vow,1,0,0,0,32
