title,seen,own,wishlist_see,wishlist_own,user_rating
Good Will Hunting,1,1,0,0,32
A Good Year,1,0,0,0,35
Erin Brockovich,1,0,0,1,38
Up,1,0,0,1,62
Magic Mike,1,0,0,1,70
The Notebook,1,0,0,1,70
The Holiday,1,0,0,1,61
Blood Diamond,1,1,0,0,51
Once,1,0,0,1,45
P.S. I Love You,1,1,0,0,59
American Hustle,1,0,0,1,75
The Social Network,1,1,0,0,85
When Harry Met Sally,1,0,0,1,65
Jaws,1,0,0,0,70
The Matrix,1,1,0,0,80
Dirty Dancing,1,0,0,1,100
Harry Potter and the Deathly Hallows: Part 2,1,0,0,0,100
Slumdog Millionaire,1,1,0,0,61
