"id","title","year","rated","runtime","genre","tomato_meter","tomato_image","tomato_user_meter","released","dvd","production","box_office"
"1","American Psycho","2000","R","102 min","Crime, Drama","67","fresh","85","14 Apr 2000","05 Sep 2000","Lions Gate Films","N/A"
"2","Gladiator","2000","R","155 min","Action, Adventure, Drama","76","certified","87","05 May 2000","21 Nov 2000","Dreamworks Distribution LLC","$187.3M"
"3","Requiem for a Dream","2000","R","102 min","Drama","78","certified","93","27 Oct 2000","22 May 2001","Artisan Entertainment","$2.5M"
"4","X-Men","2000","PG-13","104 min","Action, Adventure, Sci-Fi","82","certified","83","14 Jul 2000","21 Nov 2000","20th Century Fox","$156.2M"
"5","Memento","2000","R","113 min","Mystery, Thriller","92","certified","94","11 Oct 2000","04 Sep 2001","Newmarket Films","$23.8M"
"6","Snatch.","2000","R","102 min","Comedy, Crime","73","fresh","94","19 Jan 2001","03 Jul 2001","Columbia Pictures","$30.1M"
"7","The Beach","2000","R","119 min","Adventure, Drama, Romance","19","rotten","58","11 Feb 2000","09 Jan 2001","20th Century Fox","N/A"
"8","How the Grinch Stole Christmas","2000","PG","104 min","Comedy, Family, Fantasy","53","rotten","55","17 Nov 2000","20 Nov 2001","Universal Pictures","$259.0M"
"9","Pitch Black","2000","R","109 min","Action, Sci-Fi, Thriller","57","rotten","77","18 Feb 2000","24 Oct 2000","Gramercy Pictures/ USA Films","N/A"
"10","Cast Away","2000","PG-13","143 min","Adventure, Drama","90","certified","83","22 Dec 2000","12 Jun 2001","20th Century Fox","$233.2M"
"11","Almost Famous","2000","R","122 min","Drama, Music","88","certified","92","13 Sep 2000","13 Mar 2001","DreamWorks SKG","$31.7M"
"12","Little Nicky","2000","PG-13","90 min","Comedy, Fantasy","22","rotten","57","10 Nov 2000","24 Apr 2001","New Line Cinema","$38.5M"
"13","Scary Movie","2000","R","88 min","Comedy","54","rotten","43","07 Jul 2000","12 Dec 2000","Dimension Films","$156.5M"
"14","O Brother, Where Art Thou?","2000","PG-13","106 min","Comedy, Crime","77","certified","89","22 Dec 2000","12 Jun 2001","Buena Vista","$45.2M"
"15","The Patriot","2000","R","165 min","Action, Drama, War","62","fresh","81","28 Jun 2000","25 Apr 2006","Columbia Pictures","$2.3M"
"16","Unbreakable","2000","PG-13","106 min","Drama, Mystery, Sci-Fi","68","fresh","77","22 Nov 2000","26 Jun 2001","Touchstone Pictures","$92.9M"
"17","Remember the Titans","2000","PG","113 min","Biography, Drama, Sport","73","fresh","93","29 Sep 2000","20 Mar 2001","Walt Disney Pictures","$114.3M"
